,Experiment name:,GSR18_nofilter_OS_1
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:27.4,73,1.6540
'0:0:27.5,73,1.6547
'0:0:27.6,73,1.6553
'0:0:27.7,73,1.6563
'0:0:27.8,73,1.6567
'0:0:27.9,73,1.6571
'0:0:28.0,73,1.6579
'0:0:28.1,74,1.6583
'0:0:28.2,74,1.6594
'0:0:28.3,74,1.6598
'0:0:28.4,74,1.6603
'0:0:28.5,74,1.6609
'0:0:28.6,74,1.6615
'0:0:28.7,75,1.6623
'0:0:28.8,75,1.6624
'0:0:28.9,75,1.6630
'0:0:29.0,75,1.6631
'0:0:29.1,75,1.6631
'0:0:29.2,75,1.6631
'0:0:29.3,75,1.6633
'0:0:29.4,75,1.6631
'0:0:29.5,74,1.6630
'0:0:29.6,74,1.6627
'0:0:29.7,74,1.6641
'0:0:29.8,74,1.6634
'0:0:29.9,74,1.6634
'0:0:30.0,74,1.6630
'0:0:30.1,74,1.6630
'0:0:30.2,74,1.6626
'0:0:30.3,82,1.6627
'0:0:30.4,82,1.6627
'0:0:30.5,82,1.6623
'0:0:30.6,82,1.6622
'0:0:30.7,82,1.6622
'0:0:30.8,82,1.6613
'0:0:30.9,82,1.6605
'0:0:31.0,84,1.6611
'0:0:31.1,84,1.6611
'0:0:31.2,84,1.6609
'0:0:31.3,84,1.6605
'0:0:31.4,84,1.6601
'0:0:31.5,84,1.6597
'0:0:31.6,84,1.6594
'0:0:31.7,85,1.6601
'0:0:31.8,85,1.6601
'0:0:31.9,85,1.6597
'0:0:32.0,85,1.6593
'0:0:32.1,85,1.6590
'0:0:32.2,85,1.6589
'0:0:32.3,85,1.6589
'0:0:32.4,85,1.6596
'0:0:32.5,85,1.6596
'0:0:32.6,85,1.6593
'0:0:32.7,85,1.6593
'0:0:32.8,85,1.6594
'0:0:32.9,85,1.6598
'0:0:33.0,85,1.6603
'0:0:33.1,85,1.6604
'0:0:33.2,85,1.6603
'0:0:33.3,85,1.6603
'0:0:33.4,85,1.6603
'0:0:33.5,85,1.6601
'0:0:33.6,85,1.6600
'0:0:33.7,76,1.6601
'0:0:33.8,76,1.6611
'0:0:33.9,76,1.6608
'0:0:34.0,76,1.6604
'0:0:34.1,76,1.6604
'0:0:34.2,76,1.6600
'0:0:34.3,76,1.6598
'0:0:34.4,76,1.6596
'0:0:34.5,74,1.6594
'0:0:34.6,74,1.6600
'0:0:34.7,74,1.6600
'0:0:34.8,74,1.6594
'0:0:34.9,74,1.6592
'0:0:35.0,74,1.6590
'0:0:35.1,74,1.6590
'0:0:35.2,74,1.6592
'0:0:35.3,72,1.6597
'0:0:35.4,72,1.6604
'0:0:35.5,72,1.6604
'0:0:35.6,72,1.6605
'0:0:35.7,72,1.6609
'0:0:35.8,72,1.6612
'0:0:35.9,72,1.6619
'0:0:36.0,73,1.6629
'0:0:36.1,73,1.6641
'0:0:36.2,73,1.6648
'0:0:36.3,73,1.6653
'0:0:36.4,73,1.6661
'0:0:36.5,73,1.6667
'0:0:36.6,73,1.6672
'0:0:36.7,74,1.6681
'0:0:36.8,74,1.6687
'0:0:36.9,74,1.6689
'0:0:37.0,74,1.6690
'0:0:37.1,74,1.6690
'0:0:37.2,74,1.6690
'0:0:37.3,74,1.6690
'0:0:37.4,74,1.6696
'0:0:37.5,74,1.6698
'0:0:37.6,74,1.6693
'0:0:37.7,74,1.6693
'0:0:37.8,74,1.6693
'0:0:37.9,76,1.6701
'0:0:38.0,76,1.6712
'0:0:38.1,76,1.6716
'0:0:38.2,76,1.6722
'0:0:38.3,76,1.6727
'0:0:38.4,76,1.6734
'0:0:38.5,76,1.6738
'0:0:38.6,76,1.6742
'0:0:38.7,76,1.6744
'0:0:38.8,74,1.6753
'0:0:38.9,74,1.6757
'0:0:39.0,74,1.6753
'0:0:39.1,74,1.6751
'0:0:39.2,74,1.6746
'0:0:39.3,74,1.6744
'0:0:39.4,74,1.6741
'0:0:39.5,74,1.6737
'0:0:39.6,82,1.6741
'0:0:39.7,82,1.6744
'0:0:39.8,82,1.6740
'0:0:39.9,82,1.6737
'0:0:40.0,82,1.6734
'0:0:40.1,82,1.6731
'0:0:40.2,82,1.6730
'0:0:40.3,82,1.6730
'0:0:40.4,82,1.6735
'0:0:40.5,82,1.6738
'0:0:40.6,82,1.6740
'0:0:40.7,82,1.6742
'0:0:40.8,82,1.6751
'0:0:40.9,82,1.6775
'0:0:41.0,83,1.6836
'0:0:41.1,83,1.6859
'0:0:41.2,83,1.6839
'0:0:41.3,83,1.6796
'0:0:41.4,83,1.6789
'0:0:41.5,83,1.6788
'0:0:41.6,83,1.6790
'0:0:41.7,84,1.6790
'0:0:41.8,84,1.6806
'0:0:41.9,84,1.6814
'0:0:42.0,84,1.6773
'0:0:42.1,84,1.6574
