,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:46.4,58,0.0353
'0:0:46.5,58,0.0353
'0:0:46.6,58,0.0353
'0:0:46.7,58,0.0353
'0:0:46.8,58,0.0353
'0:0:46.9,58,0.0352
'0:0:47.0,58,0.0353
'0:0:47.1,58,0.0353
'0:0:47.2,58,0.0353
'0:0:47.3,58,0.0353
'0:0:47.4,58,0.0353
'0:0:47.5,58,0.0353
'0:0:47.6,58,0.0353
'0:0:47.7,58,0.0353
'0:0:47.8,58,0.0353
'0:0:47.9,58,0.0353
'0:0:48.0,58,0.0353
'0:0:48.1,58,0.0353
'0:0:48.2,58,0.0353
'0:0:48.3,58,0.0353
'0:0:48.4,58,0.0353
'0:0:48.5,58,0.0353
'0:0:48.6,58,0.0353
'0:0:48.7,58,0.0353
'0:0:48.8,58,0.0353
'0:0:48.9,58,0.0353
'0:0:49.0,58,0.0353
'0:0:49.1,59,0.0353
'0:0:49.2,59,0.0353
'0:0:49.3,59,0.0353
'0:0:49.4,60,0.0353
'0:0:49.5,60,0.0353
'0:0:49.6,60,0.0352
'0:0:49.7,60,0.0353
'0:0:49.8,60,0.0354
'0:0:49.9,60,0.0353
'0:0:50.0,60,0.0353
'0:0:50.1,60,0.0353
'0:0:50.2,60,0.0353
'0:0:50.3,60,0.0353
'0:0:50.4,60,0.0353
'0:0:50.5,60,0.0353
'0:0:50.6,60,0.0353
'0:0:50.7,60,0.0353
'0:0:50.8,60,0.0353
'0:0:50.9,60,0.0353
'0:0:51.0,60,0.0353
'0:0:51.1,60,0.0353
'0:0:51.2,60,0.0353
'0:0:51.3,60,0.0353
'0:0:51.4,58,0.0353
'0:0:51.5,58,0.0353
'0:0:51.6,58,0.0353
'0:0:51.7,58,0.0353
'0:0:51.8,58,0.0353
'0:0:51.9,58,0.0353
'0:0:52.0,58,0.0353
'0:0:52.1,58,0.0353
'0:0:52.2,58,0.0353
'0:0:52.3,58,0.0353
'0:0:52.4,58,0.0354
'0:0:52.5,58,0.0354
'0:0:52.6,58,0.0354
'0:0:52.7,58,0.0354
'0:0:52.8,58,0.0353
'0:0:52.9,58,0.0354
'0:0:53.0,58,0.0353
'0:0:53.1,58,0.0354
'0:0:53.2,58,0.0353
'0:0:53.3,58,0.0354
'0:0:53.4,58,0.0354
'0:0:53.5,58,0.0353
'0:0:53.6,58,0.0353
'0:0:53.7,58,0.0354
'0:0:53.8,58,0.0353
'0:0:53.9,58,0.0353
'0:0:54.0,58,0.0353
'0:0:54.1,58,0.0353
'0:0:54.2,58,0.0353
'0:0:54.3,58,0.0354
'0:0:54.4,58,0.0354
'0:0:54.5,58,0.0354
'0:0:54.6,58,0.0353
'0:0:54.7,76,0.0353
'0:0:54.8,76,0.0353
'0:0:54.9,76,0.0354
'0:0:55.0,76,0.0353
'0:0:55.1,76,0.0354
'0:0:55.2,76,0.0354
'0:0:55.3,76,0.0354
'0:0:55.4,76,0.0354
'0:0:55.5,76,0.0354
'0:0:55.6,76,0.0354
'0:0:55.7,76,0.0354
'0:0:55.8,76,0.0354
'0:0:55.9,76,0.0354
'0:0:56.0,76,0.0354
'0:0:56.1,76,0.0354
'0:0:56.2,76,0.0354
'0:0:56.3,76,0.0354
'0:0:56.4,76,0.0354
'0:0:56.5,76,0.0354
'0:0:56.6,76,0.0354
'0:0:56.7,76,0.0354
'0:0:56.8,76,0.0354
'0:0:56.9,76,0.0354
'0:0:57.0,76,0.0354
'0:0:57.1,76,0.0354
'0:0:57.2,76,0.0353
'0:0:57.3,58,0.0354
'0:0:57.4,58,0.0354
'0:0:57.5,58,0.0354
'0:0:57.6,58,0.0353
'0:0:57.7,58,0.0354
'0:0:57.8,58,0.0354
'0:0:57.9,58,0.0354
'0:0:58.0,58,0.0354
'0:0:58.1,58,0.0354
'0:0:58.2,58,0.0354
'0:0:58.3,58,0.0355
'0:0:58.4,58,0.0354
'0:0:58.5,58,0.0354
'0:0:58.6,58,0.0354
'0:0:58.7,58,0.0354
'0:0:58.8,58,0.0355
'0:0:58.9,58,0.0354
'0:0:59.0,58,0.0354
'0:0:59.1,58,0.0355
'0:0:59.2,58,0.0354
'0:0:59.3,58,0.0354
'0:0:59.4,58,0.0354
'0:0:59.5,58,0.0354
'0:0:59.6,58,0.0354
'0:0:59.7,58,0.0354
'0:0:59.8,58,0.0354
'0:0:59.9,58,0.0355
'0:1:0.0,58,0.0354
'0:1:0.1,58,0.0354
'0:1:0.2,58,0.0354
'0:1:0.3,58,0.0354
'0:1:0.4,58,0.0354
'0:1:0.5,58,0.0355
'0:1:0.6,58,0.0354
'0:1:0.7,67,0.0354
'0:1:0.8,67,0.0354
'0:1:0.9,67,0.0355
'0:1:1.0,67,0.0354
'0:1:1.1,67,0.0355
'0:1:1.2,67,0.0355
'0:1:1.3,67,0.0355
'0:1:1.4,67,0.0356
'0:1:1.5,67,0.0355
'0:1:1.6,67,0.0354
'0:1:1.7,70,0.0354
'0:1:1.8,70,0.0354
'0:1:1.9,70,0.0354
'0:1:2.0,70,0.0354
'0:1:2.1,70,0.0355
'0:1:2.2,70,0.0354
'0:1:2.3,70,0.0354
'0:1:2.4,70,0.0355
'0:1:2.5,70,0.0355
'0:1:2.6,70,0.0351
'0:1:2.7,63,0.0346
'0:1:2.8,63,0.0340
'0:1:2.9,63,0.0340
'0:1:3.0,63,0.0341
'0:1:3.1,63,0.0343
'0:1:3.2,63,0.0340
'0:1:3.3,63,0.0338
'0:1:3.4,63,0.0341
'0:1:3.5,58,0.0341
'0:1:3.6,58,0.0347
'0:1:3.7,58,0.0351
'0:1:3.8,58,0.0355
'0:1:3.9,58,0.0354
'0:1:4.0,58,0.0352
'0:1:4.1,58,0.0354
'0:1:4.2,58,0.0394
'0:1:4.3,58,0.0384
'0:1:4.4,58,0.0357
'0:1:4.5,58,0.0354
'0:1:4.6,58,0.0354
'0:1:4.7,58,0.0355
'0:1:4.8,58,0.0355
