,Experiment name:,GSR15_nofilter_OD
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:27.4,69,0.2847
'0:0:27.5,69,0.2847
'0:0:27.6,69,0.2847
'0:0:27.7,69,0.2847
'0:0:27.8,69,0.2847
'0:0:27.9,69,0.2847
'0:0:28.0,69,0.2847
'0:0:28.1,69,0.2847
'0:0:28.2,69,0.2847
'0:0:28.3,69,0.2847
'0:0:28.4,69,0.2847
'0:0:28.5,69,0.2847
'0:0:28.6,69,0.2846
'0:0:28.7,69,0.2847
'0:0:28.8,69,0.2847
'0:0:28.9,69,0.2846
'0:0:29.0,69,0.2846
'0:0:29.1,69,0.2846
'0:0:29.2,69,0.2847
'0:0:29.3,69,0.2846
'0:0:29.4,69,0.2846
'0:0:29.5,69,0.2846
'0:0:29.6,69,0.2847
'0:0:29.7,69,0.2846
'0:0:29.8,69,0.2846
'0:0:29.9,69,0.2847
'0:0:30.0,69,0.2849
'0:0:30.1,69,0.2846
'0:0:30.2,69,0.2847
'0:0:30.3,69,0.2847
'0:0:30.4,69,0.2847
'0:0:30.5,70,0.2845
'0:0:30.6,70,0.2845
'0:0:30.7,70,0.2846
'0:0:30.8,70,0.2847
'0:0:30.9,70,0.2846
'0:0:31.0,70,0.2846
'0:0:31.1,70,0.2847
'0:0:31.2,70,0.2847
'0:0:31.3,69,0.2846
'0:0:31.4,69,0.2846
'0:0:31.5,69,0.2847
'0:0:31.6,69,0.2846
'0:0:31.7,69,0.2844
'0:0:31.8,69,0.2845
'0:0:31.9,69,0.2843
'0:0:32.0,69,0.2844
'0:0:32.1,69,0.2846
'0:0:32.2,69,0.2846
'0:0:32.3,69,0.2845
'0:0:32.4,69,0.2845
'0:0:32.5,69,0.2846
'0:0:32.6,69,0.2845
'0:0:32.7,69,0.2846
'0:0:32.8,69,0.2847
'0:0:32.9,69,0.2846
'0:0:33.0,69,0.2846
'0:0:33.1,69,0.2846
'0:0:33.2,69,0.2846
'0:0:33.3,69,0.2845
'0:0:33.4,69,0.2846
'0:0:33.5,69,0.2846
'0:0:33.6,69,0.2845
'0:0:33.7,69,0.2845
'0:0:33.8,69,0.2847
'0:0:33.9,69,0.2846
'0:0:34.0,69,0.2845
'0:0:34.1,69,0.2845
'0:0:34.2,69,0.2842
'0:0:34.3,69,0.2846
'0:0:34.4,69,0.2845
'0:0:34.5,69,0.2842
'0:0:34.6,69,0.2841
'0:0:34.7,69,0.2843
'0:0:34.8,69,0.2845
'0:0:34.9,69,0.2845
'0:0:35.0,69,0.2844
'0:0:35.1,69,0.2845
'0:0:35.2,69,0.2845
'0:0:35.3,69,0.2845
'0:0:35.4,69,0.2845
'0:0:35.5,69,0.2846
'0:0:35.6,69,0.2846
'0:0:35.7,69,0.2846
'0:0:35.8,69,0.2847
'0:0:35.9,69,0.2849
'0:0:36.0,69,0.2846
'0:0:36.1,69,0.2845
'0:0:36.2,69,0.2844
'0:0:36.3,69,0.2844
'0:0:36.4,69,0.2844
'0:0:36.5,69,0.2843
'0:0:36.6,69,0.2843
'0:0:36.7,69,0.2845
'0:0:36.8,69,0.2845
'0:0:36.9,69,0.2843
'0:0:37.0,69,0.2841
'0:0:37.1,69,0.2838
'0:0:37.2,69,0.2840
'0:0:37.3,69,0.2840
'0:0:37.4,69,0.2839
'0:0:37.5,69,0.2839
'0:0:37.6,69,0.2842
'0:0:37.7,69,0.2847
'0:0:37.8,69,0.2845
'0:0:37.9,69,0.2847
'0:0:38.0,69,0.2847
'0:0:38.1,69,0.2839
'0:0:38.2,69,0.2839
'0:0:38.3,69,0.2838
'0:0:38.4,69,0.2840
'0:0:38.5,69,0.2843
'0:0:38.6,69,0.2841
'0:0:38.7,69,0.2839
'0:0:38.8,69,0.2838
'0:0:38.9,69,0.2839
'0:0:39.0,69,0.2842
'0:0:39.1,69,0.2841
'0:0:39.2,69,0.2840
'0:0:39.3,69,0.2842
'0:0:39.4,69,0.2843
'0:0:39.5,69,0.2840
'0:0:39.6,69,0.2840
'0:0:39.7,69,0.2842
'0:0:39.8,69,0.2852
'0:0:39.9,70,0.2846
'0:0:40.0,70,0.2839
'0:0:40.1,70,0.2836
'0:0:40.2,70,0.2837
'0:0:40.3,70,0.2839
'0:0:40.4,70,0.2840
'0:0:40.5,70,0.2838
'0:0:40.6,70,0.2837
'0:0:40.7,70,0.2838
'0:0:40.8,69,0.2837
'0:0:40.9,69,0.2840
'0:0:41.0,69,0.2842
'0:0:41.1,69,0.2840
'0:0:41.2,69,0.2833
'0:0:41.3,69,0.2835
'0:0:41.4,69,0.2836
'0:0:41.5,69,0.2838
'0:0:41.6,69,0.2838
'0:0:41.7,69,0.2838
'0:0:41.8,69,0.2837
'0:0:41.9,69,0.2838
'0:0:42.0,69,0.2838
'0:0:42.1,69,0.2838
