,Experiment name:,GSR04_nofilter_OD_1
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:27.4,69,0.7893
'0:0:27.5,69,0.7883
'0:0:27.6,69,0.7877
'0:0:27.7,69,0.7875
'0:0:27.8,61,0.7882
'0:0:27.9,61,0.7882
'0:0:28.0,61,0.7878
'0:0:28.1,61,0.7877
'0:0:28.2,61,0.7872
'0:0:28.3,61,0.7867
'0:0:28.4,61,0.7866
'0:0:28.5,61,0.7865
'0:0:28.6,61,0.7862
'0:0:28.7,60,0.7860
'0:0:28.8,60,0.7852
'0:0:28.9,60,0.7844
'0:0:29.0,60,0.7849
'0:0:29.1,60,0.7847
'0:0:29.2,60,0.7846
'0:0:29.3,60,0.7847
'0:0:29.4,60,0.7850
'0:0:29.5,60,0.7857
'0:0:29.6,60,0.7854
'0:0:29.7,60,0.7845
'0:0:29.8,60,0.7850
'0:0:29.9,60,0.7849
'0:0:30.0,60,0.7843
'0:0:30.1,60,0.7838
'0:0:30.2,60,0.7835
'0:0:30.3,60,0.7832
'0:0:30.4,60,0.7840
'0:0:30.5,60,0.7845
'0:0:30.6,60,0.7838
'0:0:30.7,60,0.7836
'0:0:30.8,60,0.7833
'0:0:30.9,60,0.7822
'0:0:31.0,60,0.7819
'0:0:31.1,60,0.7819
'0:0:31.2,60,0.7821
'0:0:31.3,60,0.7820
'0:0:31.4,60,0.7821
'0:0:31.5,60,0.7819
'0:0:31.6,60,0.7820
'0:0:31.7,60,0.7822
'0:0:31.8,60,0.7823
'0:0:31.9,60,0.7824
'0:0:32.0,60,0.7811
'0:0:32.1,60,0.7800
'0:0:32.2,60,0.7824
'0:0:32.3,60,0.7813
'0:0:32.4,60,0.7799
'0:0:32.5,60,0.7803
'0:0:32.6,60,0.7795
'0:0:32.7,60,0.7808
'0:0:32.8,60,0.7830
'0:0:32.9,60,0.7832
'0:0:33.0,60,0.7855
'0:0:33.1,60,0.7851
'0:0:33.2,60,0.7818
'0:0:33.3,60,0.7837
'0:0:33.4,60,0.7857
'0:0:33.5,60,0.7842
'0:0:33.6,60,0.7827
'0:0:33.7,60,0.7824
'0:0:33.8,60,0.7797
'0:0:33.9,60,0.7804
'0:0:34.0,60,0.7811
'0:0:34.1,60,0.7806
'0:0:34.2,60,0.7794
'0:0:34.3,60,0.7794
'0:0:34.4,60,0.7808
'0:0:34.5,60,0.7810
'0:0:34.6,60,0.7817
'0:0:34.7,60,0.7823
'0:0:34.8,68,0.7831
'0:0:34.9,68,0.7836
'0:0:35.0,68,0.7841
'0:0:35.1,68,0.7846
'0:0:35.2,68,0.7853
'0:0:35.3,68,0.7861
'0:0:35.4,68,0.7870
'0:0:35.5,68,0.7883
'0:0:35.6,69,0.7897
'0:0:35.7,69,0.7897
'0:0:35.8,69,0.7896
'0:0:35.9,69,0.7898
'0:0:36.0,69,0.7897
'0:0:36.1,69,0.7902
'0:0:36.2,69,0.7907
'0:0:36.3,69,0.7912
'0:0:36.4,69,0.7920
'0:0:36.5,69,0.7932
'0:0:36.6,69,0.7937
'0:0:36.7,69,0.7941
'0:0:36.8,69,0.7943
'0:0:36.9,69,0.7945
'0:0:37.0,69,0.7937
'0:0:37.1,69,0.7930
'0:0:37.2,69,0.7931
'0:0:37.3,69,0.7934
'0:0:37.4,69,0.7940
'0:0:37.5,69,0.7943
'0:0:37.6,69,0.7943
'0:0:37.7,69,0.7944
'0:0:37.8,69,0.7942
'0:0:37.9,69,0.7941
'0:0:38.0,69,0.7941
'0:0:38.1,69,0.7942
'0:0:38.2,69,0.7943
'0:0:38.3,69,0.7945
'0:0:38.4,69,0.7949
'0:0:38.5,69,0.7953
'0:0:38.6,69,0.7959
'0:0:38.7,69,0.7962
'0:0:38.8,69,0.7974
'0:0:38.9,69,0.7984
'0:0:39.0,69,0.7989
'0:0:39.1,69,0.8000
'0:0:39.2,69,0.8009
'0:0:39.3,69,0.8011
'0:0:39.4,69,0.8014
'0:0:39.5,69,0.8015
'0:0:39.6,69,0.8023
'0:0:39.7,69,0.8027
'0:0:39.8,69,0.8033
'0:0:39.9,69,0.8049
'0:0:40.0,69,0.8048
'0:0:40.1,69,0.8045
'0:0:40.2,69,0.8041
'0:0:40.3,69,0.8036
'0:0:40.4,69,0.8032
'0:0:40.5,69,0.8026
'0:0:40.6,69,0.8022
'0:0:40.7,69,0.8017
'0:0:40.8,69,0.8015
'0:0:40.9,69,0.8011
'0:0:41.0,69,0.8006
'0:0:41.1,69,0.8003
'0:0:41.2,69,0.7997
'0:0:41.3,69,0.7990
'0:0:41.4,69,0.7985
'0:0:41.5,69,0.7980
'0:0:41.6,69,0.7974
'0:0:41.7,69,0.7970
'0:0:41.8,68,0.7967
'0:0:41.9,68,0.7963
'0:0:42.0,68,0.7959
'0:0:42.1,68,0.7956
