,Experiment name:,GSR18_VF_OS_2
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:27.4,77,1.4236
'0:0:27.5,77,1.4234
'0:0:27.6,77,1.4232
'0:0:27.7,77,1.4235
'0:0:27.8,77,1.4238
'0:0:27.9,77,1.4237
'0:0:28.0,77,1.4236
'0:0:28.1,77,1.4234
'0:0:28.2,77,1.4232
'0:0:28.3,77,1.4229
'0:0:28.4,77,1.4226
'0:0:28.5,77,1.4231
'0:0:28.6,77,1.4232
'0:0:28.7,77,1.4231
'0:0:28.8,77,1.4229
'0:0:28.9,77,1.4226
'0:0:29.0,77,1.4225
'0:0:29.1,77,1.4223
'0:0:29.2,77,1.4223
'0:0:29.3,77,1.4226
'0:0:29.4,77,1.4226
'0:0:29.5,77,1.4223
'0:0:29.6,77,1.4223
'0:0:29.7,77,1.4220
'0:0:29.8,77,1.4218
'0:0:29.9,77,1.4217
'0:0:30.0,77,1.4219
'0:0:30.1,77,1.4220
'0:0:30.2,77,1.4218
'0:0:30.3,77,1.4217
'0:0:30.4,77,1.4217
'0:0:30.5,77,1.4218
'0:0:30.6,77,1.4216
'0:0:30.7,76,1.4218
'0:0:30.8,76,1.4223
'0:0:30.9,76,1.4240
'0:0:31.0,76,1.4226
'0:0:31.1,76,1.4223
'0:0:31.2,76,1.4223
'0:0:31.3,76,1.4225
'0:0:31.4,76,1.4230
'0:0:31.5,76,1.4231
'0:0:31.6,76,1.4232
'0:0:31.7,76,1.4237
'0:0:31.8,76,1.4241
'0:0:31.9,76,1.4241
'0:0:32.0,76,1.4246
'0:0:32.1,76,1.4251
'0:0:32.2,69,1.4263
'0:0:32.3,69,1.4270
'0:0:32.4,69,1.4275
'0:0:32.5,69,1.4277
'0:0:32.6,69,1.4283
'0:0:32.7,69,1.4286
'0:0:32.8,69,1.4287
'0:0:32.9,69,1.4288
'0:0:33.0,69,1.4293
'0:0:33.1,69,1.4297
'0:0:33.2,69,1.4295
'0:0:33.3,69,1.4295
'0:0:33.4,69,1.4294
'0:0:33.5,69,1.4294
'0:0:33.6,69,1.4293
'0:0:33.7,69,1.4294
'0:0:33.8,69,1.4297
'0:0:33.9,69,1.4300
'0:0:34.0,69,1.4301
'0:0:34.1,69,1.4299
'0:0:34.2,69,1.4295
'0:0:34.3,69,1.4292
'0:0:34.4,69,1.4291
'0:0:34.5,69,1.4287
'0:0:34.6,69,1.4288
'0:0:34.7,69,1.4289
'0:0:34.8,69,1.4287
'0:0:34.9,69,1.4282
'0:0:35.0,69,1.4280
'0:0:35.1,69,1.4280
'0:0:35.2,69,1.4275
'0:0:35.3,70,1.4272
'0:0:35.4,70,1.4274
'0:0:35.5,70,1.4274
'0:0:35.6,70,1.4271
'0:0:35.7,70,1.4266
'0:0:35.8,70,1.4265
'0:0:35.9,70,1.4263
'0:0:36.0,70,1.4263
'0:0:36.1,70,1.4265
'0:0:36.2,70,1.4268
'0:0:36.3,70,1.4265
'0:0:36.4,70,1.4261
'0:0:36.5,70,1.4260
'0:0:36.6,70,1.4258
'0:0:36.7,70,1.4255
'0:0:36.8,70,1.4264
'0:0:36.9,70,1.4265
'0:0:37.0,70,1.4265
'0:0:37.1,70,1.4261
'0:0:37.2,70,1.4259
'0:0:37.3,70,1.4260
'0:0:37.4,70,1.4263
'0:0:37.5,70,1.4260
'0:0:37.6,70,1.4259
'0:0:37.7,70,1.4258
'0:0:37.8,70,1.4257
'0:0:37.9,70,1.4258
'0:0:38.0,70,1.4257
'0:0:38.1,70,1.4258
'0:0:38.2,63,1.4260
'0:0:38.3,63,1.4268
'0:0:38.4,63,1.4270
'0:0:38.5,63,1.4266
'0:0:38.6,63,1.4266
'0:0:38.7,63,1.4266
'0:0:38.8,63,1.4264
'0:0:38.9,63,1.4264
'0:0:39.0,63,1.4266
'0:0:39.1,69,1.4275
'0:0:39.2,69,1.4283
'0:0:39.3,69,1.4288
'0:0:39.4,69,1.4288
'0:0:39.5,69,1.4291
'0:0:39.6,69,1.4297
'0:0:39.7,69,1.4299
'0:0:39.8,69,1.4301
'0:0:39.9,69,1.4307
'0:0:40.0,69,1.4310
'0:0:40.1,69,1.4310
'0:0:40.2,69,1.4309
'0:0:40.3,69,1.4309
'0:0:40.4,69,1.4309
'0:0:40.5,69,1.4309
'0:0:40.6,69,1.4307
'0:0:40.7,70,1.4309
'0:0:40.8,70,1.4310
'0:0:40.9,70,1.4307
'0:0:41.0,70,1.4307
'0:0:41.1,70,1.4303
'0:0:41.2,70,1.4300
'0:0:41.3,70,1.4298
'0:0:41.4,70,1.4294
'0:0:41.5,69,1.4297
'0:0:41.6,69,1.4299
'0:0:41.7,69,1.4295
'0:0:41.8,69,1.4292
'0:0:41.9,69,1.4291
'0:0:42.0,69,1.4288
'0:0:42.1,69,1.4286
