,Experiment name:,GSR04_OD_1
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:27.4,67,1.1330
'0:0:27.5,67,1.1328
'0:0:27.6,67,1.1319
'0:0:27.7,67,1.1292
'0:0:27.8,67,1.1278
'0:0:27.9,67,1.1262
'0:0:28.0,67,1.1254
'0:0:28.1,67,1.1243
'0:0:28.2,67,1.1240
'0:0:28.3,67,1.1231
'0:0:28.4,67,1.1208
'0:0:28.5,67,1.1194
'0:0:28.6,67,1.1172
'0:0:28.7,67,1.1153
'0:0:28.8,67,1.1134
'0:0:28.9,67,1.1121
'0:0:29.0,67,1.1116
'0:0:29.1,67,1.1108
'0:0:29.2,67,1.1094
'0:0:29.3,67,1.1077
'0:0:29.4,67,1.1065
'0:0:29.5,67,1.1054
'0:0:29.6,67,1.1044
'0:0:29.7,68,1.1035
'0:0:29.8,68,1.1031
'0:0:29.9,68,1.1027
'0:0:30.0,68,1.1019
'0:0:30.1,68,1.1013
'0:0:30.2,68,1.1006
'0:0:30.3,68,1.0998
'0:0:30.4,68,1.0987
'0:0:30.5,68,1.0988
'0:0:30.6,68,1.0983
'0:0:30.7,68,1.0978
'0:0:30.8,68,1.0969
'0:0:30.9,68,1.0964
'0:0:31.0,68,1.0960
'0:0:31.1,68,1.0959
'0:0:31.2,68,1.0957
'0:0:31.3,67,1.0966
'0:0:31.4,67,1.0983
'0:0:31.5,67,1.0992
'0:0:31.6,67,1.1000
'0:0:31.7,67,1.1014
'0:0:31.8,67,1.1025
'0:0:31.9,67,1.1038
'0:0:32.0,67,1.1045
'0:0:32.1,67,1.1050
'0:0:32.2,67,1.1062
'0:0:32.3,67,1.1058
'0:0:32.4,67,1.1049
'0:0:32.5,67,1.1041
'0:0:32.6,67,1.1033
'0:0:32.7,67,1.1027
'0:0:32.8,67,1.1022
'0:0:32.9,67,1.1026
'0:0:33.0,67,1.1031
'0:0:33.1,67,1.1023
'0:0:33.2,67,1.1010
'0:0:33.3,67,1.0978
'0:0:33.4,67,1.0948
'0:0:33.5,67,1.0958
'0:0:33.6,67,1.0958
'0:0:33.7,75,1.0926
'0:0:33.8,75,1.0924
'0:0:33.9,75,1.0978
'0:0:34.0,75,1.0997
'0:0:34.1,75,1.0931
'0:0:34.2,75,1.0954
'0:0:34.3,75,1.1005
'0:0:34.4,75,1.0886
'0:0:34.5,75,1.1024
'0:0:34.6,75,1.0963
'0:0:34.7,75,1.0825
'0:0:34.8,75,1.0878
'0:0:34.9,75,1.0864
'0:0:35.0,75,1.0853
'0:0:35.1,75,1.0854
'0:0:35.2,75,1.0838
'0:0:35.3,74,1.0839
'0:0:35.4,74,1.0842
'0:0:35.5,74,1.0842
'0:0:35.6,74,1.0850
'0:0:35.7,74,1.0850
'0:0:35.8,74,1.0858
'0:0:35.9,74,1.0880
'0:0:36.0,74,1.0912
'0:0:36.1,74,1.0953
'0:0:36.2,74,1.0994
'0:0:36.3,74,1.1022
'0:0:36.4,74,1.1044
'0:0:36.5,74,1.1068
'0:0:36.6,74,1.1104
'0:0:36.7,74,1.1129
'0:0:36.8,74,1.1153
'0:0:36.9,74,1.1179
'0:0:37.0,74,1.1211
'0:0:37.1,74,1.1253
'0:0:37.2,74,1.1283
'0:0:37.3,74,1.1291
'0:0:37.4,74,1.1294
'0:0:37.5,74,1.1293
'0:0:37.6,74,1.1289
'0:0:37.7,74,1.1282
'0:0:37.8,74,1.1275
'0:0:37.9,74,1.1265
'0:0:38.0,74,1.1254
'0:0:38.1,74,1.1245
'0:0:38.2,74,1.1238
'0:0:38.3,74,1.1232
'0:0:38.4,74,1.1225
'0:0:38.5,74,1.1221
'0:0:38.6,74,1.1222
'0:0:38.7,74,1.1221
'0:0:38.8,74,1.1218
'0:0:38.9,74,1.1213
'0:0:39.0,74,1.1212
'0:0:39.1,74,1.1212
'0:0:39.2,74,1.1216
'0:0:39.3,74,1.1216
'0:0:39.4,74,1.1219
'0:0:39.5,74,1.1217
'0:0:39.6,74,1.1208
'0:0:39.7,74,1.1209
'0:0:39.8,74,1.1216
'0:0:39.9,74,1.1218
'0:0:40.0,74,1.1216
'0:0:40.1,74,1.1204
'0:0:40.2,74,1.1197
'0:0:40.3,74,1.1186
'0:0:40.4,74,1.1178
'0:0:40.5,74,1.1177
'0:0:40.6,74,1.1179
'0:0:40.7,74,1.1201
'0:0:40.8,74,1.1199
'0:0:40.9,74,1.1188
'0:0:41.0,75,1.1180
'0:0:41.1,75,1.1173
'0:0:41.2,75,1.1160
'0:0:41.3,75,1.1146
'0:0:41.4,75,1.1141
'0:0:41.5,75,1.1131
'0:0:41.6,75,1.1114
'0:0:41.7,75,1.1098
'0:0:41.8,74,1.1087
'0:0:41.9,74,1.1077
'0:0:42.0,74,1.1067
'0:0:42.1,74,1.1054
