,Experiment name:,GSR18_VF_OD_2
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:27.4,79,1.4820
'0:0:27.5,80,1.4819
'0:0:27.6,80,1.4817
'0:0:27.7,80,1.4817
'0:0:27.8,80,1.4819
'0:0:27.9,80,1.4817
'0:0:28.0,80,1.4815
'0:0:28.1,80,1.4814
'0:0:28.2,80,1.4811
'0:0:28.3,80,1.4810
'0:0:28.4,80,1.4810
'0:0:28.5,80,1.4807
'0:0:28.6,80,1.4806
'0:0:28.7,80,1.4804
'0:0:28.8,80,1.4805
'0:0:28.9,80,1.4805
'0:0:29.0,80,1.4803
'0:0:29.1,80,1.4801
'0:0:29.2,80,1.4800
'0:0:29.3,80,1.4800
'0:0:29.4,80,1.4800
'0:0:29.5,80,1.4801
'0:0:29.6,72,1.4804
'0:0:29.7,72,1.4810
'0:0:29.8,72,1.4812
'0:0:29.9,72,1.4812
'0:0:30.0,72,1.4814
'0:0:30.1,72,1.4815
'0:0:30.2,72,1.4815
'0:0:30.3,72,1.4814
'0:0:30.4,72,1.4814
'0:0:30.5,70,1.4816
'0:0:30.6,70,1.4819
'0:0:30.7,70,1.4816
'0:0:30.8,70,1.4817
'0:0:30.9,70,1.4815
'0:0:31.0,70,1.4814
'0:0:31.1,70,1.4801
'0:0:31.2,70,1.4789
'0:0:31.3,69,1.4789
'0:0:31.4,69,1.4790
'0:0:31.5,69,1.4789
'0:0:31.6,69,1.4786
'0:0:31.7,69,1.4783
'0:0:31.8,69,1.4784
'0:0:31.9,69,1.4781
'0:0:32.0,69,1.4780
'0:0:32.1,69,1.4779
'0:0:32.2,69,1.4779
'0:0:32.3,69,1.4776
'0:0:32.4,69,1.4774
'0:0:32.5,69,1.4770
'0:0:32.6,69,1.4768
'0:0:32.7,70,1.4768
'0:0:32.8,70,1.4769
'0:0:32.9,70,1.4770
'0:0:33.0,70,1.4770
'0:0:33.1,70,1.4770
'0:0:33.2,70,1.4770
'0:0:33.3,70,1.4770
'0:0:33.4,70,1.4773
'0:0:33.5,71,1.4778
'0:0:33.6,71,1.4781
'0:0:33.7,71,1.4781
'0:0:33.8,71,1.4783
'0:0:33.9,71,1.4784
'0:0:34.0,71,1.4784
'0:0:34.1,71,1.4785
'0:0:34.2,71,1.4785
'0:0:34.3,71,1.4785
'0:0:34.4,71,1.4784
'0:0:34.5,71,1.4785
'0:0:34.6,71,1.4783
'0:0:34.7,71,1.4783
'0:0:34.8,71,1.4780
'0:0:34.9,64,1.4778
'0:0:35.0,64,1.4779
'0:0:35.1,64,1.4779
'0:0:35.2,64,1.4778
'0:0:35.3,64,1.4778
'0:0:35.4,64,1.4774
'0:0:35.5,64,1.4771
'0:0:35.6,64,1.4769
'0:0:35.7,64,1.4766
'0:0:35.8,63,1.4768
'0:0:35.9,63,1.4769
'0:0:36.0,63,1.4766
'0:0:36.1,63,1.4768
'0:0:36.2,63,1.4763
'0:0:36.3,63,1.4761
'0:0:36.4,63,1.4759
'0:0:36.5,63,1.4757
'0:0:36.6,69,1.4755
'0:0:36.7,69,1.4757
'0:0:36.8,69,1.4755
'0:0:36.9,69,1.4754
'0:0:37.0,69,1.4752
'0:0:37.1,69,1.4750
'0:0:37.2,69,1.4749
'0:0:37.3,69,1.4748
'0:0:37.4,69,1.4750
'0:0:37.5,69,1.4752
'0:0:37.6,69,1.4752
'0:0:37.7,69,1.4750
'0:0:37.8,69,1.4752
'0:0:37.9,69,1.4750
'0:0:38.0,69,1.4749
'0:0:38.1,69,1.4750
'0:0:38.2,69,1.4750
'0:0:38.3,69,1.4753
'0:0:38.4,69,1.4753
'0:0:38.5,69,1.4753
'0:0:38.6,69,1.4752
'0:0:38.7,69,1.4750
'0:0:38.8,70,1.4749
'0:0:38.9,70,1.4749
'0:0:39.0,70,1.4750
'0:0:39.1,70,1.4750
'0:0:39.2,70,1.4749
'0:0:39.3,70,1.4749
'0:0:39.4,70,1.4748
'0:0:39.5,70,1.4748
'0:0:39.6,70,1.4752
'0:0:39.7,70,1.4753
'0:0:39.8,70,1.4753
'0:0:39.9,70,1.4754
'0:0:40.0,70,1.4754
'0:0:40.1,70,1.4754
'0:0:40.2,70,1.4754
'0:0:40.3,70,1.4755
'0:0:40.4,70,1.4755
'0:0:40.5,70,1.4755
'0:0:40.6,70,1.4755
'0:0:40.7,70,1.4755
'0:0:40.8,70,1.4755
'0:0:40.9,70,1.4754
'0:0:41.0,63,1.4757
'0:0:41.1,63,1.4759
'0:0:41.2,63,1.4758
'0:0:41.3,63,1.4757
'0:0:41.4,63,1.4757
'0:0:41.5,63,1.4755
'0:0:41.6,63,1.4755
'0:0:41.7,63,1.4754
'0:0:41.8,69,1.4754
'0:0:41.9,69,1.4754
'0:0:42.0,69,1.4754
'0:0:42.1,69,1.4754
